package,description
stabledist,Stable Distribution Functions
StableEstim,Estimate the Four Parameters of Stable Laws using Different Methods
stableGR,A Stable Gelman-Rubin Diagnostic for Markov Chain Monte Carlo
stablelearner,Stability Assessment of Statistical Learning Methods
stablespec,Stable Specification Search in Structural Equation Models
stabm,Stability Measures for Feature Selection
stabreg,Linear Regression with the Stable Distribution
stabs,Stability Selection with Error Control
stackoverflow,Stack Overflow's Greatest Hits
stacks,Tidy Model Stacking
stacomirtools,'ODBC' Connection Class for Package stacomiR
stagedtrees,Staged Event Trees
stagePop,Modelling the Population Dynamics of a Stage-Structured Species in Continuous Time
StakeholderAnalysis,Measuring Stakeholder Influence
stam,Spatio-Temporal Analysis and Modelling
StAMPP,Statistical Analysis of Mixed Ploidy Populations
stampr,Spatial Temporal Analysis of Moving Polygons
STAND,Statistical Analysis of Non-Detects
standardize,Tools for Standardizing Variables for Regression in R
StandardizeText,Standardize Text
StanHeaders,C++ Header Files for Stan
stapler,Simultaneous Truth and Performance Level Estimation
staplr,A Toolkit for PDF Files
STAR,Spike Train Analysis with R
staRdom,PARAFAC Analysis of EEMs from DOM
stargazer,Well-Formatted Regression and Summary Statistics Tables
starm,Spatio-Temporal Autologistic Regression Model
starma,Modelling Space Time AutoRegressive Moving Average (STARMA) Processes
starnet,Stacked Elastic Net
stars,"Spatiotemporal Arrays, Raster and Vector Data Cubes"
starschemar,Obtaining Star Schemas from Flat Tables
starsExtra,Miscellaneous Functions for Working with 'stars' Rasters
STARTdesign,Single to Double Arm Transition Design for Phase II Clinical Trials
startR,Automatically Retrieve Multidimensional Distributed Data Sets
STARTS,Functions for the STARTS Model
startup,Friendly R Startup Configuration
startupmsg,Utilities for Start-Up Messages
starvars,Vector Logistic Smooth Transition Models / Realized Covariances Construction
starvz,R-Based Visualization Techniques for Task-Based Applications
starwarsdb,Relational Data from the 'Star Wars' API for Learning and Teaching
STAT,Interactive Document for Working with Basic Statistical Analysis
stat.extend,Highest Density Regions and Other Functions of Distributions
STAT2,Interactive Document for Working with Basic Statistical Analysis
Stat2Data,Datasets for Stat2
statar,Tools Inspired by 'Stata' to Manipulate Tabular Data
statcanR,Client for Statistics Canada's Open Economic Data
StatCharrms,"Statistical Analysis of Chemistry, Histopathology, and Reproduction Endpoints Including Repeated Measures and Multi-Generation Studies"
statcheck,Extract Statistics from Articles and Recompute p Values
statcomp,Statistical Complexity and Information Measures for Time Series Analysis
StatDA,Statistical Analysis for Environmental Data
StatDataML,Read and Write StatDataML Files
statebins,Create United States Uniform Cartogram Heatmaps
states,Create Panels of Independent States
statespacer,State Space Modelling in 'R'
statgenGWAS,Genome Wide Association Studies
statgenGxE,Genotype by Environment (GxE) Analysis
statgenHTP,High Throughput Phenotyping (HTP) Data Analysis
statgenSTA,Single Trial Analysis (STA) of Field Trials
statGraph,Statistical Methods for Graphs
stationaRy,Detailed Meteorological Data from Stations All Over the World
stationery,Working Examples for Reproducible Research Documents
statip,Statistical Functions for Probability Distributions and Regression
StatMatch,Statistical Matching or Data Fusion
StatMeasures,"Easy Data Manipulation, Data Quality and Statistical Checks"
statmod,Statistical Modeling
statnet,Software Tools for the Statistical Analysis of Network Data
statnet.common,Common R Scripts and Utilities Used by the Statnet Project Software
statnetWeb,A Graphical User Interface for Network Modeling with 'Statnet'
statnipokladna,Use Data from the Czech Public Finance Database
staTools,Statistical Tools for Social Network Analysis
StatPerMeCo,Statistical Performance Measures to Evaluate Covariance Matrix Estimates
statprograms,Graduate Statistics Program Datasets
statquotes,"Quotes on Statistics, Data Visualization and Science"
StatRank,"Statistical Rank Aggregation: Inference, Evaluation, and Visualization"
stats19,Work with Open Road Traffic Casualty Data from Great Britain
statsExpressions,Dataframes and Expressions with Statistical Details
statsr,Companion Software for the Coursera Statistics with R Specialization
statswalesr,Easily Extract Data from 'StatsWales'
statVisual,Statistical Visualization Tools
STB,Simultaneous Tolerance Bounds
stcos,Space-Time Change of Support
stcov,Stein's Covariance Estimator
stddiff,"Calculate the Standardized Difference for Numeric, Binary and Category Variables"
stdReg,Regression Standardization
stdvectors,C++ Standard Library Vectors in R
steadyICA,ICA and Tests of Independence via Multivariate Distance Covariance
steepness,Testing Steepness of Dominance Hierarchies
SteinerNet,Steiner Tree Approach for Graph Analysis
SteinIV,Semi-Parametric Stein-Like Estimator with Instrumental Variables
stellaR,stellar evolution tracks and isochrones
Stem,Spatio-temporal models in R
stemmatology,Stemmatological Analysis of Textual Traditions
StempCens,Spatio-Temporal Estimation and Prediction for Censored/Missing Responses
stencilaschema,Bindings for Stencila Schema
STEPCAM,ABC-SMC Inference of STEPCAM
stepp,Subpopulation Treatment Effect Pattern Plot (STEPP)
SteppedPower,Power Calculation for Stepped Wedge Designs
stepPenal,Stepwise Forward Variable Selection in Penalized Regression
stepPlr,L2 Penalized Logistic Regression with Stepwise Variable Selection
stepR,Multiscale Change-Point Inference
StepReg,Stepwise Regression Analysis
steps,Spatially- and Temporally-Explicit Population Simulator
StepSignalMargiLike,Step-Wise Signal Extraction via Marginal Likelihood
StepwiseTest,Multiple Testing Method to Control Generalized Family-Wise Error Rate and False Discovery Proportion
StereoMorph,Stereo Camera Calibration and Reconstruction
stevedata,"Steve's Toy Data for Teaching About a Variety of Methodological, Social, and Political Topics"
stevedore,Docker Client
stevetemplates,Steve's 'R Markdown' Templates
stfit,Spatio-Temporal Functional Imputation Tool
STGS,Genomic Selection using Single Trait
STI,Calculation of the Standardized Temperature Index
stickr,View and Use R Hex Stickers
sticky,Persist Attributes Across Data Operations
stilt,Separable Gaussian Process Interpolation (Emulation)
stima,Simultaneous Threshold Interaction Modeling Algorithm
stinepack,"Stineman, a Consistently Well Behaved Method of Interpolation"
stlcsb,Tidy Manipulation of CSB Data for St. Louis
stlELM,Hybrid Forecasting Model Based on STL Decomposition and ELM
stlnpp,Spatio-Temporal Analysis of Point Patterns on Linear Networks
stlplus,Enhanced Seasonal Decomposition of Time Series by Loess
stlTDNN,STL Decomposition and TDNN Hybrid Time Series Forecasting
stm,Estimation of the Structural Topic Model
stmCorrViz,A Tool for Structural Topic Model Visualizations
STMedianPolish,Spatio-Temporal Median Polish
stmgp,Rapid and Accurate Genetic Prediction Modeling for Genome-Wide Association or Whole-Genome Sequencing Study Data
stmgui,Shiny Application for Creating STM Models
stminsights,A 'Shiny' Application for Inspecting Structural Topic Models
StMoMo,Stochastic Mortality Modelling
StMoSim,Quantile-Quantile Plot with Several Gaussian Simulations
STMotif,Discovery of Motifs in Spatial-Time Series
stocc,Fit a Spatial Occupancy Model via Gibbs Sampling
stochprofML,Stochastic Profiling using Maximum Likelihood Estimation
stochQN,Stochastic Limited Memory Quasi-Newton Optimizers
stochvol,Efficient Bayesian Inference for Stochastic Volatility (SV) Models
stochvolTMB,Likelihood Estimation of Stochastic Volatility Models
stockR,Identifying Stocks in Genetic Data
stocks,Stock Market Analysis
stoichcalc,R Functions for Solving Stoichiometric Equations
stokes,The Exterior Calculus
STOPES,Selection Threshold Optimized Empirically via Splitting
stopwords,Multilingual Stopword Lists
Storm,Write Storm Bolts in R using the Storm Multi-Language Protocol
storr,Simple Key Value Stores
stoRy,Functions for the Analysis of Star Trek Thematic Data
stosim,Stochastic Simulator for Reliability Modeling of Repairable Systems
STPGA,Selection of Training Populations by Genetic Algorithm
stplanr,Sustainable Transport Planning
stpm,Stochastic Process Model for Analysis of Longitudinal and Time-to-Event Outcomes
stpp,"Space-Time Point Pattern Simulation, Visualisation and Analysis"
stR,STR Decomposition
str2str,Convert R Objects from One Structure to Another
StrainRanking,Ranking of Pathogen Strains
strand,A Framework for Investment Strategy Simulation
strap,Stratigraphic Tree Analysis for Palaeontology
strat,An Implementation of the Stratification Index
stratallo,Optimum Sample Allocation in Stratified Random Sampling Scheme
stratamatch,Stratification and Matching for Large Observational Data Sets
stratbr,Optimal Stratification in Stratified Sampling
strategicplayers,Strategic Players
Strategy,Generic Framework to Analyze Trading Strategies
stratEst,Strategy Estimation
StrathE2E2,End-to-End Marine Food Web Model
stratification,Univariate Stratification of Survey Populations
StratifiedBalancing,Stratified Covariate Balancing
StratifiedMedicine,Stratified Medicine
StratifiedRF,Builds Trees by Sampling Variables in Groups
StratifiedSampling,Different Methods for Stratified Sampling
stratifyR,Optimal Stratification of Univariate Populations
StratigrapheR,Integrated Stratigraphy
StratSel,Strategic Selection Estimator
STraTUS,Enumeration and Uniform Sampling of Transmission Trees for a Known Phylogeny
stratvns,Optimal Stratification in Stratified Sampling
straweib,Stratified Weibull Regression Model
stray,Anomaly Detection in High Dimensional and Temporal Data
stream,Infrastructure for Data Stream Mining
streambugs,"Parametric Ordinary Differential Equations Model of Growth, Death, and Respiration of Macroinvertebrate and Algae Taxa"
streamDepletr,Estimate Streamflow Depletion Due to Groundwater Pumping
StreamMetabolism,Calculate Single Station Metabolism from Diurnal Oxygen Curves
streamMOA,Interface for MOA Stream Clustering Algorithms
streamR,Access to Twitter Streaming API via R
stressaddition,Modelling Tri-Phasic Concentration-Response Relationships
stressr,Fetch and plot financial stress index and component data
StressStrength,Computation and Estimation of Reliability of Stress-Strength Models
strex,Extra String Manipulation Functions
strider,Strided Iterator and Range
String2AdjMatrix,Creates an Adjacency Matrix from a List of Strings
stringb,Convenient Base R String Handling
stringdist,"Approximate String Matching, Fuzzy Text Search, and String Distance Functions"
stringfish,Alt String Implementation
stringformattr,Dynamic String Formatting
stringi,Character String Processing Facilities
stringr,"Simple, Consistent Wrappers for Common String Operations"
strip,Lighten your R Model Outputs
stripless,Structured Trellis Displays Without Strips for Lattice Graphics
striprtf,Extract Text from RTF File
strm,Spatio-Temporal Regression Modeling
STRMPS,Analysis of Short Tandem Repeat (STR) Massively Parallel Sequencing (MPS) Data
StroupGLMM,"R Codes and Datasets for Generalized Linear Mixed Models: Modern Concepts, Methods and Applications by Walter W. Stroup"
strucchange,"Testing, Monitoring, and Dating Structural Changes"
strucchangeRcpp,"Testing, Monitoring, and Dating Structural Changes: C++ Version"
StructFDR,False Discovery Control Procedure Integrating the Prior Structure Information
structree,Tree-Structured Clustering
StructureMC,Structured Matrix Completion
strvalidator,Process Control and Internal Validation of Forensic STR Kits
stsm,Structural Time Series Models
stuart,Subtests Using Algorithmic Rummaging Techniques
stubthat,Stubbing Framework for R
studentlife,Tidy Handling and Navigation of the Student-Life Dataset
studyStrap,Study Strap and Multi-Study Learning Algorithms
stUPscales,Spatio-Temporal Uncertainty Propagation Across Multiple Scales
STV,Single Transferable Vote Counting
StVAR,Student's t Vector Autoregression (StVAR)
styler,Non-Invasive Pretty Printing of R Code
stylest,Estimating Speaker Style Distinctiveness
stylo,Stylometric Multivariate Analyses
subcopem2D,Bivariate Empirical Subcopula
SubCultCon,Maximum-Likelihood Cultural Consensus Analysis with Sub-Cultures
subdetect,Detect Subgroup with an Enhanced Treatment Effect
subformula,Create Subformulas of a Formula
subgroup,Methods for exploring treatment effect heterogeneity in subgroup analysis of clinical trials
SubgrPlots,Graphical Displays for Subgroup Analysis in Clinical Trials
subgxe,Combine Multiple GWAS by Using Gene-Environment Interactions
sublime,Automatic Lesion Incidence Estimation and Detection using Multi-Modality Longitudinal Magnetic Resonance Images
submax,Effect Modification in Observational Studies Using the Submax Method
subniche,Within Outlying Mean Indexes: Refining the OMI Analysis
SubpathwayGMir,Identify Metabolic Subpathways Mediated by MicroRNAs
SubpathwayLNCE,Identify Signal Subpathways Competitively Regulated by LncRNAs Based on ceRNA Theory
subplex,Unconstrained Optimization using the Subplex Algorithm
subrank,Computes Copula using Ranks and Subsampling
subsamp,Subsample Winner Algorithm for Variable Selection in Linear Regression with a Large Number of Variables
subscore,Computing Subscores in Classical Test Theory and Item Response Theory
subscreen,Systematic Screening of Study Data for Subgroup Effects
subselect,Selecting Variable Subsets
subspace,Interface to OpenSubspace
subtee,Subgroup Treatment Effect Estimation in Clinical Trials
SubTite,Subgroup Specific Optimal Dose Assignment
subtype,Cluster analysis to find molecular subtypes and their assessment
SubtypeDrug,Prioritization of Candidate Cancer Subtype Specific Drugs
SubVis,Visual Exploration of Protein Alignments Resulting from Multiple Substitution Matrices
sudachir,R Interface to 'Sudachi'
suddengains,Identify Sudden Gains in Longitudinal Data
sudoku,Sudoku Puzzle Generator and Solver
sudokuAlt,Tools for Making and Spoiling Sudoku Games
SUE,Subsampling method
SuessR,Suess and Laws Corrections for Marine Stable Carbon Isotope Data
sugarbag,Create Tessellated Hexagon Maps
sugrrants,Supporting Graphs for Analysing Time Series
sumFREGAT,Fast Region-Based Association Tests on Summary Statistics
summariser,Easy Calculation and Visualisation of Confidence Intervals
SummaryLasso,Building Polygenic Risk Score Using GWAS Summary Statistics
summarytools,Tools to Quickly and Neatly Summarize Data
SUMMER,Spatio-Temporal Under-Five Mortality Methods for Estimation
sunburstR,Sunburst 'Htmlwidget'
suncalc,"Compute Sun Position, Sunlight Phases, Moon Position and Lunar Phase"
Sunclarco,Survival Analysis using Copulas
Sunder,Quantification of the effect of geographic versus environmental isolation on genetic differentiation
sundialr,An Interface to 'SUNDIALS' Ordinary Differential Equation (ODE) Solvers
SUNGEO,Sub-National Geospatial Data Archive: Geoprocessing Toolkit
SunterSampling,Sunter's sampling design
supc,The Self-Updating Process Clustering Algorithms
supclust,Supervised Clustering of Predictor Variables Such as Genes
supcluster,Supervised Cluster Analysis
superb,Get Precision of Means Under Various Designs and Sampling Schemes
superbiclust,Generating Robust Biclusters from a Bicluster Set (Ensemble Biclustering)
superdiag,A Comprehensive Test Suite for Testing Markov Chain Nonconvergence
SuperExactTest,Exact Test and Visualization of Multi-Set Intersections
SuperGauss,Superfast Likelihood Inference for Stationary Gaussian Time Series
superheat,A Graphical Tool for Exploring Complex Datasets Using Heatmaps
SuperLearner,Super Learner Prediction
superMDS,Implements the supervised multidimensional scaling (superMDS) proposal of Witten and Tibshirani (2011)
superml,Build Machine Learning Models Like Using Python's Scikit-Learn Library in R
supernova,"Judd, McClelland, & Ryan Formatting for ANOVA Output"
superpc,Supervised Principal Components
SuperPCA,Supervised Principal Component Analysis
SuperpixelImageSegmentation,Superpixel Image Segmentation
Superpower,Simulation-Based Power Analysis for Factorial Designs
SuperRanker,Sequential Rank Agreement
supervisedPRIM,Supervised Classification Learning and Prediction using Patient Rule Induction Method (PRIM)
SupMZ,Detecting Structural Change with Heteroskedasticity
suppdata,Downloading Supplementary Data from Published Manuscripts
SuppDists,Supplementary Distributions
support.BWS,Tools for Case 1 Best-Worst Scaling
support.BWS2,Tools for Case 2 Best-Worst Scaling
support.BWS3,Tools for Case 3 Best-Worst Scaling
support.CEs,Basic Functions for Supporting an Implementation of Choice Experiments
supportInt,Calculates Likelihood Support Intervals for Common Data Types
supreme,Modeling Tool for 'Shiny' Applications Developed with Modules
sur,"Companion to ""Statistics Using R: An Integrative Approach"""
surbayes,Bayesian Analysis of Seemingly Unrelated Regression Models
sure,Surrogate Residuals for Ordinal and General Regression Models
sureLDA,A Novel Multi-Disease Automated Phenotyping Method for the EHR
surf,Survey-Based Gross Flows Estimation
surface,Fitting Hansen Models to Investigate Convergent Evolution
SurfaceTortoise,Find Optimal Sampling Locations Based on Spatial Covariate(s)
Surrogate,Evaluation of Surrogate Endpoints in Clinical Trials
SurrogateOutcome,Estimation of the Proportion of Treatment Effect Explained by Surrogate Outcome Information
SurrogateRegression,Surrogate Outcome Regression Analysis
SurrogateTest,Early Testing for a Treatment Effect using Surrogate Marker Information
surrosurv,Evaluation of Failure Time Surrogate Endpoints in Individual Patient Data Meta-Analyses
surrosurvROC,Surrogate Survival ROC
suRtex,LaTeX descriptive statistic reporting for survey data
surv2sampleComp,Inference for Model-Free Between-Group Parameters for Censored Survival Data
survAUC,Estimators of prediction accuracy for time-to-event data
survAWKMT2,Two-Sample Tests Based on Differences of Kaplan-Meier Curves
SurvBoost,Gradient Boosting for Survival Data
survBootOutliers,Concordance Based Bootstrap Methods for Outlier Detection in Survival Analysis
survC1,C-Statistics for Risk Prediction Models with Censored Survival Data
SurvCorr,Correlation of Bivariate Survival Times
survCurve,Plots Survival Curves Element by Element
SurvDisc,Discrete Time Survival and Longitudinal Data Analysis
surveillance,Temporal and Spatio-Temporal Modeling and Monitoring of Epidemic Phenomena
survELtest,Comparing Multiple Survival Functions with Crossing Hazards
survexp.fr,"Relative survival, AER and SMR based on French death rates"
survey,Analysis of Complex Survey Samples
surveybootstrap,Tools for the Bootstrap with Survey Data
surveydata,Tools to Work with Survey Data
surveyeditor,Generate a Survey that can be Completed by Survey Respondents
surveyoutliers,Helps Manage Outliers in Sample Surveys
surveyplanning,Survey Planning Tools
surveysd,Survey Standard Error Estimation for Cumulated Estimates and their Differences in Complex Panel Designs
Survgini,The Gini concentration test for survival data
SurvGSD,Group Sequential Design for a Clinical Trial with Censored Survival Data
survHE,Survival Analysis in Health Economic Evaluation
SurvHiDim,High Dimensional Survival Data Analysis
survIDINRI,IDI and NRI for comparing competing risk prediction models with censored survival data
survidm,Inference and Prediction in an Illness-Death Model
SurviMChd,High Dimensional Survival Data Analysis with Markov Chain Monte Carlo
survival,Survival Analysis
survivalmodels,Models for Survival Analysis
survivalMPL,Penalised Maximum Likelihood for Survival Analysis Models
survivalMPLdc,Penalised Likelihood for Survival Analysis with Dependent Censoring
survivalROC,Time-dependent ROC curve estimation from censored survival data
survivalsvm,Survival Support Vector Analysis
survivoR,Data from all Seasons of Survivor (US) TV Series in Tidy Format
survJamda,Survival Prediction by Joint Analysis of Microarray Gene Expression Data
survJamda.data,Data for Package 'survJambda'
SurvLong,Analysis of Proportional Hazards Model with Sparse Longitudinal Covariates
SurvMI,Multiple Imputation Method in Survival Analysis
survminer,Drawing Survival Curves using 'ggplot2'
survMisc,Miscellaneous Functions for Survival Data
survmixer,Design of Clinical Trials with Survival Endpoints Based on Binary Responses
survParamSim,Parametric Survival Simulation with Parameter Uncertainty
survPen,Multidimensional Penalized Splines for Survival and Net Survival Models
survPresmooth,Presmoothed Estimation in Survival Analysis
survRatio,"Estimating, Comparing and Visualising Time to Event Data"
SurvRegCensCov,Weibull Regression for a Right-Censored Endpoint with Interval-Censored Covariate
survRM2,Comparing Restricted Mean Survival Time
survRM2adapt,Flexible and Coherent Test/Estimation Procedure Based on Restricted Mean Survival Times
survRM2perm,Permutation Test for Comparing Restricted Mean Survival Time
survSens,Sensitivity Analysis with Time-to-Event Outcomes
survsim,Simulation of Simple and Complex Survival Data
survSNP,Power Calculations for SNP Studies with Censored Outcomes
survSpearman,Nonparametric Spearman's Correlation for Survival Data
survtmle,Compute Targeted Minimum Loss-Based Estimates in Right-Censored Survival Settings
SurvTrunc,Analysis of Doubly Truncated Data
survxai,Visualization of the Local and Global Survival Model Explanations
sutteForecastR,Forecasting Data using Alpha-Sutte Indicator
sValues,Measures of the Sturdiness of Regression Coefficients
svars,Data-Driven Identification of SVAR Models
svd,Interfaces to Various State-of-Art SVD and Eigensolvers
svDialogs,"'SciViews' - Standard Dialog Boxes for Windows, MacOS and Linuxes"
svDialogstcltk,SciViews GUI API - Dialog boxes using Tcl/Tk
svdvisual,SVD visualization tools
svenssonm,Svensson's Method
svglite,An 'SVG' Graphics Device
svgPanZoom,R 'Htmlwidget' to Add Pan and Zoom to Almost any R Graphic
svgtools,Manipulate SVG (Template) Files of Charts
svGUI,SciViews - Manage GUIs in R
svgViewR,3D Animated Interactive Visualizations Using SVG and WebGL
svHttp,SciViews GUI API - R HTTP server
svIDE,Functions to Ease Interactions Between R and IDE or Code Editors
svKomodo,SciViews GUI API - Functions to interface with Komodo Edit/IDE
svMisc,SciViews - Miscellaneous Functions
SVMMaj,Implementation of the SVM-Maj Algorithm
SVMMatch,Causal Effect Estimation and Diagnostics with Support Vector Machines
svmpath,The SVM Path Algorithm
svmplus,Implementation of Support Vector Machines Plus (SVM+)
SVN,Statistically Validated Networks
svplots,Sample Variance Plots (Sv-Plots)
svrpath,The SVR Path Algorithm
svs,Tools for Semantic Vector Spaces
svSocket,'SciViews' - Socket Server
svSweave,SciViews GUI API - Sweave functions
svTools,Wrappers for Tools in Other Packages for IDE Friendliness
svUnit,"'SciViews' - Unit, Integration and System Testing"
svWidgets,"Management of GUI Widgets, Windows, and Other GUI Resources"
svydiags,Linear Regression Model Diagnostics for Survey Data
SvyNom,Nomograms for Right-Censored Outcomes from Survey Designs
svyPVpack,A package for complex surveys including plausible values
svyVGAM,Design-Based Inference in Vector Generalised Linear Models
swa,Subsampling Winner Algorithm for Classification
swag,Sparse Wrapper Algorithm
swagger,Dynamically Generates Documentation from a 'Swagger' Compliant API
swamp,"Visualization, Analysis and Adjustment of High-Dimensional Data in Respect to Sample Annotations"
swapClass,A Null Model Adapted to Abundance Class Data in Ecology
SwarmSVM,Ensemble Learning Algorithms Based on Support Vector Machines
swatches,"Read, Inspect, and Manipulate Color Swatch Files"
swCRTdesign,Stepped Wedge Cluster Randomized Trial (SW CRT) Design
swdft,Sliding Window Discrete Fourier Transform (SWDFT)
swdpwr,Power Calculation for Stepped Wedge Cluster Randomized Trials
sweep,Tidy Tools for Forecasting
sweidnumbr,Handling of Swedish Identity Numbers
swephR,High Precision Swiss Ephemeris
swfscAirDAS,Southwest Fisheries Science Center Aerial DAS Data Processing
swfscDAS,Southwest Fisheries Science Center Shipboard DAS Data Processing
swfscMisc,Miscellaneous Functions for Southwest Fisheries Science Center
swgee,Simulation Extrapolation Inverse Probability Weighted Generalized Estimating Equations
SWIM,Scenario Weights for Importance Measurement
SwimmeR,"Data Import, Cleaning, and Conversions for Swimming Results"
swimplot,Tools for Creating Swimmers Plots using 'ggplot2'
swirl,"Learn R, in R"
swirlify,A Toolbox for Writing 'swirl' Courses
SwissAir,Air Quality Data of Switzerland for One Year in 30 Min Resolution
swissdd,Get Swiss Federal and Cantonal Vote Results from Opendata.swiss
swissMrP,Multilevel Regression with Post-Stratification (MrP) for Switzerland
swissparl,Interface to the Webservices of the Swiss Parliament
switchcase,A Simple and Flexible Switch-Case Construct for the 'R' Language
switchnpreg,Switching nonparametric regression models for a single curve and functional data
switchr,"Installing, Managing, and Switching Between Distinct Sets of Installed Packages"
swmmr,R Interface for US EPA's SWMM
SWMPr,"Retrieving, Organizing, and Analyzing Estuary Monitoring Data"
SWMPrExtension,Functions for Analyzing and Plotting Estuary Monitoring Data
sybil,Efficient Constrained Based Modelling
sybilccFBA,Cost Constrained Flux Balance Analysis (ccFBA): MetabOlic Modeling with ENzyme kineTics (MOMENT)
sybilcycleFreeFlux,Cycle-Free Flux Balance Analysis (CycleFreeFlux)
sybilDynFBA,Dynamic FBA : Dynamic Flux Balance Analysis
sylcount,Syllable Counting and Readability Measurements
syllabifyr,Syllabifier for CMU Dictionary Transcriptions
sylly,Hyphenation and Syllable Counting for Text Analysis
sylly.en,Language Support for 'sylly' Package: English
sym.arma,Autoregressive and Moving Average Symmetric Models
symbolicDA,Analysis of Symbolic Data
SymbolicDeterminants,Symbolic Representation of Matrix Determinant
symbols,Symbol plots
symDMatrix,Partitioned Symmetric Matrices
symengine,Interface to the 'SymEngine' Library
symmetry,Testing for Symmetry of Data and Model Residuals
symmoments,Symbolic Central and Noncentral Moments of the Multivariate Normal Distribution
symSEM,Symbolic Computation for Structural Equation Models
SymTS,Symmetric Tempered Stable Distributions
syn,Creates Synonyms From Target Words
synchronicity,Boost Mutex Functionality in R
synchrony,"Methods for Computing Spatial, Temporal, and Spatiotemporal Statistics"
SynchWave,Synchrosqueezed Wavelet Transform
SyncMove,Subsample Temporal Data to Synchronal Events and Compute the MCI
SyncRNG,A Synchronized Tausworthe RNG for R and Python
SYNCSA,Analysis of Functional and Phylogenetic Patterns in Metacommunities
SyNet,Inference and Analysis of Sympatry Networks
synfd,Synthesize Dense or Sparse Functional Data/Snippets
synlik,Synthetic Likelihood Methods for Intractable Likelihoods
synoptReg,Synoptic Climate Classification and Spatial Regionalization of Environmental Data
synRNASeqNet,Synthetic RNA-Seq Network Generation and Mutual Information Estimates
syntaxr,An 'SPSS' Syntax Generator for Multi-Variable Manipulation
Synth,Synthetic Control Group Method for Comparative Case Studies
synthACS,Synthetic Microdata and Spatial MicroSimulation Modeling for ACS Data
synthesis,Generate Synthetic Data from Statistical Models
synthesisr,"Import, Assemble, and Deduplicate Bibliographic Datasets"
SynthETIC,Synthetic Experience Tracking Insurance Claims
synthpop,Generating Synthetic Versions of Sensitive Microdata for Statistical Disclosure Control
SynthTools,Tools and Tests for Experiments with Partially Synthetic Data Sets
sys,Powerful and Reliable Tools for Running System Commands in R
SyScSelection,Systematic Scenario Selection for Stress Testing
sysfonts,Loading Fonts into R
sysid,System Identification in R
syslognet,Send Log Messages to Remote 'syslog' Server
systemfit,Estimating Systems of Simultaneous Equations
systemfonts,System Native Font Finding
SystemicR,Monitoring Systemic Risk
systemicrisk,A Toolbox for Systemic Risk
syt,Standard Young Tableaux
syuzhet,Extracts Sentiment and Sentiment-Derived Plot Arcs from Text
,
T2EQ,Functions for Applying the T^2-Test for Equivalence
T4cluster,Tools for Cluster Analysis
T4transport,Tools for Computational Optimal Transport
tab,Create Summary Tables for Statistical Reports
Taba,Taba Robust Correlations
taber,Split and Recombine Your Data
tabit,Simple Tabulation Made Simple
tablaxlsx,Write Formatted Tables in Excel Workbooks
table.express,Build 'data.table' Expressions with Data Manipulation Verbs
table.glue,Make and Apply Customized Rounding Specifications for Tables
table1,Tables of Descriptive Statistics in HTML
Table1Heatmap,Table 1 Heatmap
table1xls,Exports Reproducible Summary Tables to Multi-Tab Spreadsheet Files (.xls or .xlsx)
TableHC,Higher Criticism Test of Two Frequency Counts Tables
tableHTML,A Tool to Create HTML Tables
tableMatrix,Combines 'data.table' and 'matrix' Classes
TableMonster,Table Monster
tableone,Create 'Table 1' to Describe Baseline Characteristics with or without Propensity Score Weights
tablerDash,'Tabler' API for 'Shiny'
tables,Formula-Driven Table Generation
tableschema.r,Table Schema 'Frictionless Data'
tablesgg,"Presentation-Quality Tables, Displayed Using 'ggplot2'"
tablet,Tabulate Descriptive Statistics in Multiple Formats
TableToLongForm,Automatically Convert Hierarchical for-Human Tables to Machine-Readable LongForm Dataframes
tabnet,Fit 'TabNet' Models for Classification and Regression
tabr,"Music Notation Syntax, Manipulation, Analysis and Transcription in R"
tabshiftr,Reshape Disorganised Messy Data
tabularaster,Tidy Tools for 'Raster' Data
tabularmaps,Create Tile-Grid Geographical Maps
tabulator,Efficient Tabulation with Stata-Like Output
tabulizer,Bindings for 'Tabula' PDF Table Extractor Library
tabulizerjars,'Java' .jar Files for 'tabulizer'
tabulog,Parsing Semi-Structured Log Files into Tabular Format
tabuSearch,Tabu Search Algorithm for Binary Configurations
tacmagic,Positron Emission Tomography Time-Activity Curve Analysis
tactile,"New and Extended Plots, Methods, and Panel Functions for 'lattice'"
TAF,Functions to Support the ICES Transparent Assessment Framework
TAG,Transformed Additive Gaussian Processes
tagcloud,Tag Clouds
tailloss,Estimate the Probability in the Upper Tail of the Aggregate Loss Distribution
TailRank,The Tail-Rank Statistic
taipan,Tool for Annotating Images in Preparation for Analysis
takos,Analysis of Differential Calorimetry Scans
TAM,Test Analysis Modules
tanaka,Design Shaded Contour Lines (or Tanaka) Maps
TanB,The TanB Distribution
TANDEM,A Two-Stage Approach to Maximize Interpretability of Drug Response Models Based on Multiple Molecular Data Types
tangles,Anonymization of Spatial Point Patterns and Raster Objects
TangPoemR,Write Chinese Tang Poems
tangram,The Grammar of Tables
TapeR,Flexible Tree Taper Curves Based on Semiparametric Mixed Models
tapkee,Wrapper for 'tapkee' Dimension Reduction Library
tapnet,Trait Matching and Abundance for Predicting Bipartite Networks
TAQMNGR,Manage Tick-by-Tick Transaction Data
TAR,Bayesian Modeling of Autoregressive Threshold Time Series Models
tarchetypes,Archetypes for Targets
targeted,Targeted Inference
